"","logFC","logCPM","F","PValue","FDR"
"LIMD1-AS1",-7.05413850981561,6.10419154773495,1435.59988447075,2.07127260144174e-19,2.68851183667138e-15
"NHLH1",-6.83121388485452,6.0071701498785,912.590270637352,3.20190242618046e-17,2.07803467459112e-13
"TNXB",-7.65148187928503,6.0217373829265,648.580857819089,2.65147977730876e-16,1.05942768867342e-12
"TANC2",-7.08082574961946,6.07959929691081,634.044090805567,3.2648002732617e-16,1.05942768867342e-12
"RASGRF2",-5.72195688551391,4.97817350261387,562.551487808446,2.30809692316748e-15,5.99181961254278e-12
"RAG1",-5.58677071046887,4.56868582353402,422.75288483557,7.94361012198504e-15,1.71846765638943e-11
"ADARB1",-6.30748788090279,5.63605768462165,498.754012040723,1.51874903471098e-14,2.81619463864979e-11
"MTUS1",-5.33618454351259,4.49061806320009,410.550180014717,1.77498169298584e-14,2.87990779686953e-11
"SPOCK2",-5.17915937415226,4.3364369143326,399.538978112866,2.08865958185551e-14,3.01231126360939e-11
"FHIP1A",-5.1966373031182,4.53635910434966,426.699012698073,3.10821545235672e-14,4.03446365715902e-11
"KIF5A",-6.15758543383253,5.97260120293388,650.09349191233,3.75679242665664e-14,4.43301506345484e-11
"HEXA-AS1",-5.23558991189889,4.24835612008113,331.026158646624,7.67400497350433e-14,8.30071537967385e-11
"IL1RAP",-5.70064595156379,5.91983590596973,721.957124221577,1.19276562147056e-13,1.11290067613231e-10
"DCHS1",-6.76915859343466,5.89947808762701,354.31984708742,1.20035512063577e-13,1.11290067613231e-10
"SYNM",-5.20344793511906,4.46966790344301,330.197629612584,2.0449573437064e-13,1.76956975475393e-10
"MYH15",-5.60086642493367,4.58439381152941,296.835027117956,2.23204466520969e-13,1.81004609056243e-10
"SORBS1",-5.0040932096637,4.37931771358469,341.028949561929,2.38681492502832e-13,1.81004609056243e-10
"KAZALD1",-4.91804059395481,4.44004619707623,369.244373513505,2.60800538039615e-13,1.81004609056243e-10
"LINC00598",-4.45308420829386,3.63239960149966,292.185037792004,2.64952817570772e-13,1.81004609056243e-10
"BTBD8",-5.13134443792495,4.59648065265035,357.213599049372,2.96254796263952e-13,1.92269362775305e-10
"ARHGEF37",-5.29335213507726,4.19356433166923,277.38849542535,3.50368935362071e-13,2.08263216678723e-10
"SSU72-AS1",-4.68466659296698,4.16561960518701,338.22301713152,3.52988502845293e-13,2.08263216678723e-10
"FHDC1",-5.07552560440929,3.90216170031965,278.019738226258,3.70769077380356e-13,2.0924272279987e-10
"MIOS-DT",-5.07257673543942,4.73295324885584,394.290710329841,4.06372433641562e-13,2.147477549043e-10
"CECR2",-5.92155763538436,4.35193034799001,313.459353447524,4.13612779091487e-13,2.147477549043e-10
"MAST4",-6.05948224911046,5.13048086407179,283.94014156887,5.23860868658102e-13,2.61527464430083e-10
"OR2B6",-5.42431631097941,4.44968958343639,269.437820846834,5.71204581115738e-13,2.72793245679924e-10
"OR2I1P",-5.0179672580029,4.00324250661151,263.304547180277,5.88460006089204e-13,2.72793245679924e-10
"FMN1",-5.74691913618735,4.97714561653936,296.934483556694,6.09845900754433e-13,2.72958613510088e-10
"GPR176",-5.82600252999531,5.06909298371375,298.839440378301,6.40537020593597e-13,2.7713901757683e-10
"PGM2L1",-4.89778032925054,4.52103237768165,348.136879423453,7.71157195133827e-13,3.10205509453358e-10
"CMTM4",-4.4603295082614,3.85299942862334,285.761040393265,7.73792966890106e-13,3.10205509453358e-10
"HLCS-AS1",-5.17717247117994,4.35281488672368,271.35779391913,7.88658074881419e-13,3.10205509453358e-10
"H2BC17",-4.61142258954234,3.90870130266683,272.845126321647,8.47481997476632e-13,3.23538715507255e-10
"EFCAB5",-3.986106807957,3.55955781394164,289.980418199379,1.07855421827807e-12,3.99989535807124e-10
"DNAJC6",-4.60783990940974,3.97126634886661,249.215344695622,2.53983876715733e-12,9.15752977713947e-10
"IL31RA",-5.24544504342133,4.40401375544253,235.648221251478,2.70498505543998e-12,9.48938000530026e-10
"MXD1",-3.90480630136421,6.66865651173143,627.697092988955,3.07343217578185e-12,1.02493486094725e-09
"HULC",-4.17208962603617,3.48839379325766,229.71795692879,3.07954234028834e-12,1.02493486094725e-09
"FREM2",-5.1340199020902,4.22457897885933,221.030882480616,3.70820153637497e-12,1.20331139855368e-09
"DNAH5",-5.42498065938363,4.18368355409155,216.251342029704,3.84154150099515e-12,1.21617582153456e-09
"DLG2",-4.3579772297733,4.49724534411842,375.422437827388,4.58544225864904e-12,1.41712001231582e-09
"DOCK5",-5.07417463239843,4.43400229230765,239.759366342487,4.94698804930776e-12,1.49330011348872e-09
"ENAM",-4.74981342133575,3.86648846981355,208.13568955951,5.88632490261151e-12,1.73646584627040e-09
"ADGRV1",-5.19994208415403,3.98957272452141,205.149761693895,6.2503133574581e-12,1.80286816399569e-09
"ASPA",-4.81528807313162,4.11497153205618,221.145807554184,6.44870508886643e-12,1.80463694641801e-09
"OTUD3",-3.24915202875309,6.8181024533382,551.722776220239,6.53450974434871e-12,1.80463694641801e-09
"MAGI3",-4.14540867095429,3.98923730934074,275.78854605453,8.93137347616128e-12,2.35688760357603e-09
"MYH11",-4.85506114421208,3.79950460199993,195.254574101585,8.95956134421881e-12,2.35688760357603e-09
"EML5",-4.81351200868979,3.72124365942392,195.546697597537,9.07891989050858e-12,2.35688760357603e-09
"GARRE1",-3.3436397033362,6.92612951722193,520.304418753578,9.42603801064481e-12,2.39901908584646e-09
"THRA",-4.51116930609233,5.29988019485357,465.457213513407,9.71892301360526e-12,2.42599270608839e-09
"MUC20P1",-4.96695959500164,4.34421698903726,220.947977614575,1.00866403675734e-11,2.47027532020948e-09
"MUC20",-5.87311316736094,5.35927573776451,247.625354155946,1.08437442367058e-11,2.6035911668946e-09
"ZNRD2-DT",-4.34577136989733,4.25192379154102,285.921950383117,1.10321659614178e-11,2.6035911668946e-09
"YOD1",-3.37273886786807,6.9256696294947,504.75001367065,1.14067134048732e-11,2.64092161300184e-09
"KIAA1614-AS1",-3.83727256486604,3.50091261783046,227.396169953783,1.15972674839064e-11,2.64092161300184e-09
"LINC02805",-3.82712674633585,3.20254952258315,195.352703982272,1.2205378738202e-11,2.73147958658382e-09
"NEB",-5.94061470682167,5.58105050238017,266.255467896919,1.32182548525029e-11,2.90801606755064e-09
"TET1",-4.53076300080584,3.82335825265515,192.765235555013,1.74099856239651e-11,3.76636022331779e-09
"KIDINS220",-3.4433240932664,9.11716396113338,464.337024569134,1.88699977132855e-11,4.01528803800731e-09
"UNKL",-4.00150564896447,6.82441479981059,451.036590982237,2.40244479911399e-11,5.02963443427413e-09
"ZFYVE9",-4.72460089499767,3.86371938281028,176.076653230962,2.75723879647471e-11,5.68078723464155e-09
"VPS37C",-3.38625144089243,6.312373004848,439.008299810324,2.83148241740607e-11,5.74260027780168e-09
"SNTB2",-3.03154058010857,7.24159732498529,425.641874521604,3.26900186423692e-11,6.52794526119927e-09
"SH3BGRL2",-4.82461338851072,3.63821564389483,172.074267731139,3.36215047544367e-11,6.60419501032218e-09
"EVI5",-4.16119069094343,5.52102238970413,426.250003409928,3.40894503614473e-11,6.60419501032218e-09
"CCNT1",-2.79929561070187,8.66679102910329,414.13508800548,3.85186267333348e-11,7.30195374325262e-09
"SCN11A",-4.6144234476743,3.74196956200035,168.2051163214,3.88162410080455e-11,7.30195374325262e-09
"GSK3B-DT",-4.19103818730598,4.7251723133043,336.097705771034,3.95565593838761e-11,7.33491629718160e-09
"HECTD2",-3.99894022054003,4.89436801409221,378.584606809961,4.01374552995779e-11,7.33780520828903e-09
"KDM7A",-4.62371903640453,4.83168489495711,291.167276315804,4.3419858007792e-11,7.82763551307139e-09
"LINC01128",-4.41806503239947,7.69286297727763,401.674804617926,4.77323019480744e-11,8.48719560665761e-09
"ALDH8A1",-4.14246316864593,3.85578178586725,201.596107007681,5.52811394982445e-11,9.69661068496234e-09
"SMYD4",-3.19673414667286,7.30437299166813,389.51532062546,5.68327754454858e-11,9.83585900376542e-09
"ESR1",-4.36292682914342,3.60203322319993,162.853270288219,5.90554616808541e-11,1.00851685498431e-08
"ZNF236",-3.13557288700307,7.00601533399131,386.52414215165,5.98272710583913e-11,1.00851685498431e-08
"COL11A2",-5.11951324231859,4.58886458633755,186.980303625037,6.73632048738931e-11,1.12099281956812e-08
"HIC2",-3.87965005048513,5.70592526431861,388.389415482627,6.87062278647197e-11,1.12886941478995e-08
"ING5",-4.01760304085766,8.14091506850823,375.82798156832,7.09097699906928e-11,1.15051101809899e-08
"PRKAB2",-2.82890072707474,6.85495864090208,372.668214394265,7.49447980715365e-11,1.20096725798586e-08
"TMEM255B",-4.17051673108342,4.56149576344375,282.809165039835,8.02728458882687e-11,1.2706604141826e-08
"YPEL2",-4.49424323759346,5.50238440333287,351.387064884914,8.43648482582446e-11,1.31184633607227e-08
"RDH11",2.86621170911601,6.10732565699066,365.425483725047,8.48960648921965e-11,1.31184633607227e-08
"MERTK",-4.37334202049765,4.70633802885931,276.138127975503,8.59835965870905e-11,1.3130200984711e-08
"VASH1",-5.59403302164968,5.12748933527079,192.328881530794,8.9614780639294e-11,1.34422702132407e-08
"UBALD1",-3.71773940002437,5.94442070565652,369.690293305213,9.00984213060044e-11,1.34422702132407e-08
"RAB11FIP3",-3.93278051683837,7.38319080060694,359.474750538475,9.45841136586605e-11,1.39511567646524e-08
"NT5C1A",-4.60359548081532,3.41942346608836,154.363321517772,9.93844912746683e-11,1.44450938479408e-08
"FOSB",-3.50329364010377,3.01065713387708,156.362139618875,1.00158586002671e-10,1.44450938479408e-08
"CNNM2",-3.42827593636733,5.29335818379566,364.401819987801,1.01646645793629e-10,1.44986094769374e-08
"GDF9",-4.01994965310626,4.03107315013604,219.316912475795,1.03690498794096e-10,1.46293768950801e-08
"LCOR",-2.59253126854387,7.62781660648279,348.927371097707,1.1190515863277e-10,1.5618590957563e-08
"H2AZ1-DT",-4.50225944779504,4.09230457416885,177.639355135742,1.15971852207326e-10,1.60139855494797e-08
"ZNF28",-3.02103548199161,6.43391321025796,347.095029364133,1.18135802995329e-10,1.6141081293467e-08
"ASAP2",-4.42624030950953,3.70233354482255,151.819443113694,1.23434846079747e-10,1.66894198136991e-08
"AMMECR1L",-2.95480946187051,7.26700880814216,342.938021725874,1.25042581227077e-10,1.67325021064686e-08
"FBN2",-5.25170614695837,4.2341632306664,140.868933510109,1.76012292137905e-10,2.33126484892858e-08
"PSMC3IP",-3.16690290763865,5.94735873773463,326.000112075837,1.82224230224914e-10,2.38916212961553e-08
"ING1",-2.63353160539592,5.74700688494044,324.048070852899,1.84538904808148e-10,2.3928263577498e-08
"MUSK",-6.33971670831598,4.69749057962272,156.309101540776,1.8619064879255e-10,2.3928263577498e-08
"ZNF699",-3.82074233528097,6.02530742352082,327.031305464913,1.91628193318253e-10,2.41768019223768e-08
"FAM227A",-5.25822184174093,5.15402191921562,208.350845719376,1.93213273715664e-10,2.41768019223768e-08
"PITPNM2",-4.4286669871004,3.37776820129648,139.578307035984,1.93712434509028e-10,2.41768019223768e-08
"EPB41L1",-4.56824192262786,3.46643679760703,136.973923372491,2.34864612906228e-10,2.90337397668842e-08
"ADNP2",-2.90683833128858,7.56328207224205,307.856843628565,2.4310824705784e-10,2.97692928944412e-08
"PTK2",-4.66032946929345,4.03950426242102,147.806301568133,2.50814494404464e-10,3.04259078258873e-08
"CIART",-3.05984001527814,2.75177896574355,142.8166095596,2.57038733567407e-10,3.08922477935643e-08
"MIRLET7IHG",-3.69624986719937,5.05577975812612,300.173624607525,2.87167747808881e-10,3.41966730876997e-08
"NAXD",-3.62518912657935,7.98710242278253,296.141399851663,3.09191082065633e-10,3.64845476837447e-08
"GABBR2",-5.26228909219035,3.81204547948444,143.219019085662,3.22590236599638e-10,3.72093469101816e-08
"LINC01424",-3.45526336294899,3.25819693601758,155.865557331301,3.2266358965111e-10,3.72093469101816e-08
"ZNF93",-3.44825420698346,5.53627457044434,301.137542417845,3.23933451529316e-10,3.72093469101816e-08
"PSD3",-4.39219350812427,5.25653424255722,270.579035581444,3.50904154655116e-10,3.99538239247668e-08
"CMYA5",-3.87346131369793,4.14607226907832,210.260102589751,3.55195121905728e-10,4.00907189768378e-08
"RNF185",-2.11321512614335,6.98008719805723,287.982654952485,3.66707639910887e-10,4.10333203969251e-08
"TMEM116",-3.18354350732336,6.1402566001826,288.662238692909,3.77929633562011e-10,4.19275781507256e-08
"ZNF721",-2.39310582137037,7.24584183248445,284.470378323731,3.95329130227484e-10,4.34862043250233e-08
"CREBRF",-2.87547558434856,7.13322987940333,282.551782262799,4.13442838925611e-10,4.50540889360264e-08
"FRG1-DT",-4.21640261732688,4.45548732529976,207.640886278268,4.16524705109643e-10,4.50540889360264e-08
"NFIB",-4.8679941021952,4.48144742860452,156.354100240505,4.44987383194772e-10,4.75855598925091e-08
"PCNX4",2.34650520144123,5.63957156652935,279.16946556739,4.48099083393163e-10,4.75855598925091e-08
"CAPN11",-5.15377478315505,4.01511300801666,125.901324254758,4.50926337964455e-10,4.75855598925091e-08
"ICE1",-3.06438741566686,8.56144642096867,276.664127011292,4.68211084202804e-10,4.87251995741306e-08
"CAPN10-DT",-4.33503654895358,5.80401152442134,281.029179951134,4.72512670368444e-10,4.87251995741306e-08
"ATP2C1",2.70124292817676,7.30936074793901,276.245729401689,4.72987299409896e-10,4.87251995741306e-08
"NIBAN3",-3.6881388376042,3.64584456288324,166.634545994199,4.82421914479258e-10,4.93057988184313e-08
"KIAA0513",-4.27820130508313,6.16920018056335,280.537535167479,5.02274948817181e-10,5.09338190284923e-08
"KLHL11",-2.74315447046924,5.82438913752546,273.396295782817,5.2504893594411e-10,5.25020832846803e-08
"RBM48",-3.26064878136962,6.49141398172482,272.686261878961,5.25829801772607e-10,5.25020832846803e-08
"DTNA",-4.62471078062406,3.48031619990625,125.201409045917,5.43318039869587e-10,5.34781130000988e-08
"ARHGAP23",-4.15931508415592,6.87927942462864,272.553241201455,5.43845216950157e-10,5.34781130000988e-08
"SLC9A1",-3.10226829686514,6.44054854245548,268.873020643525,5.71011443387733e-10,5.57272822193442e-08
"FBXL20",-2.65527515199846,6.34292673218308,268.134679579669,5.75502147733914e-10,5.57464020715388e-08
"PODXL",-3.15347941731581,2.92578066563076,136.197208225929,5.8289751048608e-10,5.60445161934024e-08
"ATP2A1",-3.78475988900429,3.61881230889666,153.096412887697,5.92866887107168e-10,5.65839131959636e-08
"SPAG5-AS1",-3.51201988882065,3.44586613622869,155.775646686254,6.11631787586206e-10,5.79487635245909e-08
"ZNF23",-2.78445460046128,6.49550357534709,264.30951709982,6.27864262493123e-10,5.89733029332968e-08
"THAP10",-3.76681414128635,3.55741471106033,148.052416483936,6.32750910325493e-10,5.89733029332968e-08
"ATRN",-2.29902873345068,6.63562909551868,263.424124402404,6.36075686491645e-10,5.89733029332968e-08
"FFAR1",-3.57293188604173,3.82093090868392,185.171382861102,6.42529474086985e-10,5.91491671890004e-08
"SERPINB2",-4.1196155641534,4.15001261494083,173.830127264433,6.64133342522735e-10,6.07073999010218e-08
"MATCAP2",-4.05638194962306,3.3515902737469,122.792422366941,6.6927742583139e-10,6.07497971139261e-08
"MACROH2A1",2.71549855311268,6.88116997106061,259.985870835435,6.87304276233368e-10,6.19528437882578e-08
"ITIH5",-4.26139138138322,3.39823810903787,119.934084585266,6.96383351620356e-10,6.20591545064571e-08
"CCDC144CP",-3.90143086720462,3.29858234105111,124.452863824915,6.98045959779872e-10,6.20591545064571e-08
"FRS2",-2.54654049932046,6.44720408834722,259.364851610797,7.02840042243571e-10,6.20602976076296e-08
"TRPV1",-3.38849026739695,4.77939217757001,257.648796690425,7.25459889207002e-10,6.36247929858574e-08
"SELENOT",2.57925900265826,6.22412345029798,256.889697720889,7.42324985695838e-10,6.46035259629287e-08
"ZNF844",-4.10326153670886,6.54270732120183,260.20595142777,7.46573874764199e-10,6.46035259629287e-08
"CABYR",-3.33865968153416,3.21273001767957,142.499499001988,7.79117597915143e-10,6.69731551055533e-08
"IFNAR2",3.05009473272564,6.4781352189033,253.524127948862,8.05694683133274e-10,6.88020854412493e-08
"MYO10",-4.24807371643996,3.73615855135332,129.278115562352,8.45679065287672e-10,7.09535435619762e-08
"BMP8A",-3.66745382045657,3.61710405345378,153.686725856515,8.47414005054879e-10,7.09535435619762e-08
"ATP13A4",-3.56626434417277,3.88809453617978,184.377266997405,8.52659616571942e-10,7.09535435619762e-08
"ZNF571",-2.93333794192249,4.33299469181879,248.714104149513,8.527544526709e-10,7.09535435619762e-08
"PPP1R37",-2.58372126312263,5.6198394137835,251.413487076249,8.81741753889422e-10,7.28461250256329e-08
"CCNYL1",-2.48903293835976,6.42601705592325,249.682551377414,8.86724788447611e-10,7.28461250256329e-08
"SRGAP1",-4.56541252813892,5.28525378502987,225.680701325762,9.01180868267627e-10,7.35680985541748e-08
"SRGAP3",-4.49914189906939,4.65770831913961,182.029919106608,9.25908703796582e-10,7.48206291991317e-08
"CLIC5",-3.69550989454646,2.96698020083541,116.038385740155,9.28052488525439e-10,7.48206291991317e-08
"TASL",2.57929375473751,4.75040883137262,248.944140918986,9.57538579694679e-10,7.66401663876646e-08
"MYO15A",-3.43521809686848,2.91065002063848,118.062988979242,9.66408049681365e-10,7.66401663876646e-08
"OCIAD1",2.38705302604921,6.11368684440844,245.952083377139,9.68334922001309e-10,7.66401663876646e-08
"GPD1",-4.57224738312642,3.50727624388757,115.368931219318,9.85493633082296e-10,7.75254991358073e-08
"HMGB1",2.45881097762685,7.9332016547278,244.411357145033,1.00029806216329e-09,7.82061528825572e-08
"GID4",-2.5054060220828,5.80146406538252,245.35334260661,1.00619626590039e-09,7.82061528825572e-08
"RGPD1",-5.55430591450888,4.19481243542877,117.463212162643,1.02970543417312e-09,7.93587885265418e-08
"MED12L",-4.87910042149731,4.46011227829036,138.398585195987,1.03325387218687e-09,7.93587885265418e-08
"CRY2",-2.7858845928241,6.42200556945423,242.433824106933,1.06675076442998e-09,8.0745264799126e-08
"MYO5B",-3.49294661641439,2.96105449268329,116.99749860425,1.0695722579981e-09,8.0745264799126e-08
"LINC01089",-3.35070644799816,5.98878794031644,244.679826900806,1.06996806975729e-09,8.0745264799126e-08
"ANXA4",2.13309817739635,5.9849293213002,240.884539373979,1.09909675557666e-09,8.2342339312734e-08
"USP49",-3.04651827111921,6.46538266318236,241.287684894726,1.10381872422309e-09,8.2342339312734e-08
"CYB5B",2.30618702814561,6.66371733646188,240.041862443519,1.11942564749616e-09,8.25563441123457e-08
"MAP3K21",-3.66565197451775,3.24175060114369,122.730377124967,1.12176658375236e-09,8.25563441123457e-08
"CSRNP2",-2.50110811004861,5.75879984225321,240.963425567417,1.12576832880471e-09,8.25563441123457e-08
"MYO5C",-5.24021200157449,6.60697348456407,240.4666609107,1.2090912095093e-09,8.73340193050025e-08
"GSTK1",2.44241931031142,5.48723076061347,237.356252805413,1.21537213906111e-09,8.73340193050025e-08
"LCA5",-3.35555443911374,4.42737611988932,224.851719445482,1.2164320508504e-09,8.73340193050025e-08
"CCDC168",-3.99644403290809,3.36706540693067,116.255232159178,1.2178318562562e-09,8.73340193050025e-08
"STT3B",2.19918110790867,7.17335510482952,235.488808910751,1.25647785194022e-09,8.92645842992285e-08
"KDM6B",-2.49177101347794,7.29737934570165,235.333914748875,1.26345578559654e-09,8.92645842992285e-08
"SLC5A3",2.60036841142437,6.08038728960106,235.481051741486,1.26538393767782e-09,8.92645842992285e-08
"GIMAP2",3.07793520513492,3.9763735952333,237.95583963655,1.28241494995165e-09,8.99770056776885e-08
"CTSC",3.35334963882122,7.88792049438897,234.319904620672,1.29542899489768e-09,9.04014427622146e-08
"TMEM19",3.23813723267551,4.898477703171,238.441539187891,1.30628558716553e-09,9.06715878150194e-08
"ZNF888",-3.1461314726765,6.03931434499923,235.465578725292,1.31959093182683e-09,9.09461409488928e-08
"METTL14-DT",-3.37559933383035,3.97250995605373,191.964407540714,1.32425428654397e-09,9.09461409488928e-08
"TOMM70",2.43551137792093,6.23092773624959,232.91079254925,1.34956654151442e-09,9.21967037308272e-08
"ZNF234",-2.926839139354,6.29335742621459,232.201275071574,1.39824681862785e-09,9.50222183549187e-08
"COL5A2",-5.60136072328803,5.79974916234759,182.643989765485,1.41548963023079e-09,9.56417045157443e-08
"CDK1",2.98882533900009,5.89073940902875,231.350872284888,1.42209930443287e-09,9.56417045157443e-08
"TRIM27",2.45851579954276,5.14616796010288,231.582091854556,1.43033264355203e-09,9.56995758417801e-08
"THAP4",2.95440097830201,4.52049678148568,234.855887719298,1.45733229004219e-09,9.70060160243468e-08
"THUMPD3-AS1",-2.50450377267417,7.24193667333658,228.7924244608,1.50077155995203e-09,9.93878308580477e-08
"GGCX",-2.24139324657456,6.11599288568124,227.754863981944,1.55644047233504e-09,1.02551255486847e-07
"SERINC1",2.52725519776716,6.07779403584822,227.115866766286,1.57645381640837e-09,1.03345305742326e-07
"NASP",2.15654479841508,7.01426642450454,226.170675653201,1.60731797092796e-09,1.04485822796145e-07
"ITGB7",2.79262638994477,6.49101249073586,226.262414066935,1.60995104462473e-09,1.04485822796145e-07
"TJAP1",-2.4029898215847,6.37913699245707,226.073756926227,1.62472959258044e-09,1.04920348814398e-07
"ERP29",2.46431956584933,5.98896951512813,225.773080092436,1.63503135355306e-09,1.05062905787717e-07
"NSUN7",-4.13612615453613,3.11134514893768,109.813651268852,1.64836433422018e-09,1.05397877133881e-07
"HLA-B",2.65192231588774,7.90114240793789,224.656617094117,1.6731263132406e-09,1.0645568980336e-07
"PLCB3",-4.00860396314154,6.50455651697161,227.428994078994,1.68131097147064e-09,1.0645568980336e-07
"NEURL1B",-5.5396715439711,5.38833599580336,152.444751108154,1.69763981730744e-09,1.06523552388541e-07
"GRHL1",-3.47622074524315,2.94029193427026,110.414936510873,1.69879625149677e-09,1.06523552388541e-07
"LPP",-4.84589974279394,5.53517748711299,203.097869321294,1.75134960983879e-09,1.09290951613978e-07
"ZWINT",3.01016971863214,5.65654653669164,223.698432387406,1.76068791444545e-09,1.0934798626556e-07
"TNFRSF10D",-4.2529002559845,6.4850353397118,226.088986342243,1.79662116160163e-09,1.1104829846471e-07
"MITF",-4.16054694739209,3.29461096066527,107.020311730428,1.8189994324191e-09,1.11898638070142e-07
"HLF",-3.38503228958392,3.41001462501615,139.269330151934,1.83376393647641e-09,1.12274791959735e-07
"KLHL3",-2.77343992677282,4.97174403596801,225.689650952451,1.86565788449031e-09,1.13691264510254e-07
"STK35",-2.22846751466847,6.55945330305146,220.582448823901,1.88028602600541e-09,1.14047255222197e-07
"RLF",-2.67010791927658,7.93437328495668,220.080699244607,1.89748905219651e-09,1.14266383569171e-07
"HMGCR",2.51283069078305,7.16332032582218,220.017791014063,1.90150530438682e-09,1.14266383569171e-07
"ST8SIA5",-3.21648902239064,3.31369751144369,140.290639272452,1.94518908907996e-09,1.16352785144046e-07
"CRACD",-3.75468215773993,3.23109522523591,111.270790803413,1.98235616818828e-09,1.17402205933589e-07
"SLC4A8",-3.45674200837345,5.14810776091264,222.916060070357,1.98746264590087e-09,1.17402205933589e-07
"NEXN",-3.49082028560059,3.62800175434102,147.850988443097,1.99575997568033e-09,1.17402205933589e-07
"ZNF551",-2.20658359343557,5.62322793600569,219.075215602301,1.99891275125756e-09,1.17402205933589e-07
"B4GALNT1",-3.34155253792208,3.16599737775935,122.89134123791,2.03665697914694e-09,1.19080214366339e-07
"KHDC4",-1.92773240016921,7.67319083227081,217.343915481574,2.0466495551752e-09,1.19127853032171e-07
"TMEM170B",-2.73578651137329,5.87438884847408,217.35548040519,2.1165823137642e-09,1.22623228184391e-07
"TMX1",3.21140312762457,5.57006521397733,217.371302551534,2.12559524972942e-09,1.22623228184391e-07
"ERP44",2.35817757321796,6.59214712706814,213.925732793805,2.2582332737909e-09,1.29666703715891e-07
"CLDND1",2.55328689088004,6.49781616400601,213.819539185127,2.26766885543199e-09,1.29666703715891e-07
"NOCT",-2.5630559701211,4.93944930723741,217.725248212766,2.2834811088167e-09,1.29998178914214e-07
"UTP14A",2.29030080419559,4.89874585883789,213.791774157353,2.33940616881365e-09,1.32600402057647e-07
"TAF4",-2.86102838530719,6.27047522517101,212.575100353793,2.38809803204865e-09,1.34771793286919e-07
"C16orf54",3.20402839002415,3.64003205041999,202.489747067217,2.44697708617629e-09,1.3749680769943e-07
"ZCCHC2",-2.53279663016417,6.74436379044096,210.761539652273,2.4806404093095e-09,1.38787553934644e-07
"TRIM59-IFT80",-3.94270065463869,3.17159040503867,103.23677873955,2.54074714852697e-09,1.41540334711932e-07
"NR6A1",-2.64935677011716,5.97793511142744,210.277031742342,2.56261962936992e-09,1.42120065338269e-07
"SPTBN1",2.47867966748719,8.91080314016332,209.271454709686,2.57305203039239e-09,1.42120065338269e-07
"ZNF845",-3.91447213517508,7.12173408198479,209.474839667116,2.61715637169908e-09,1.43943600443449e-07
"ZDHHC13",2.20413423895058,4.72358213402725,209.943858415847,2.63112894020629e-09,1.4410149216826e-07
"CTDP1",-2.22401488168564,5.97156629531393,208.840541438303,2.6423810449238e-09,1.44109688920634e-07
"TMEM131L",2.50918925220335,7.24163150772441,208.156708418216,2.66171466433214e-09,1.44135194872912e-07
"ACP1",2.21899464704446,5.83726238467896,208.256594713276,2.6700212219603e-09,1.44135194872912e-07
"ABCA9",-4.52307328685425,5.30140275923618,192.399730837189,2.67616193870353e-09,1.44135194872912e-07
"ZNF468",-2.43905946390558,5.84920773925455,208.282910808653,2.71010390160908e-09,1.45360118359032e-07
"NAGA",3.07865612612963,4.5207006824998,212.006395289331,2.72552300084285e-09,1.45585549592346e-07
"ATP8B1",-4.20892317674031,4.06142488306412,130.887515515976,2.91094324020882e-09,1.53309390616643e-07
"COL1A1",-2.99098105026352,3.02307708516091,124.015511436461,2.91400644360136e-09,1.53309390616643e-07
"ZNF436",-2.24613202431303,5.33677643734846,206.513103129732,2.91550398547581e-09,1.53309390616643e-07
"NPR3",-4.44037106994678,4.20563167265136,127.727831063041,2.92142454175007e-09,1.53309390616643e-07
"HSPA5",2.93285171298385,8.78190157478642,204.663584318279,2.94527066535339e-09,1.53309390616643e-07
"TOP3A",-2.06554732762921,6.99100494400961,204.736988267513,2.94629849405571e-09,1.53309390616643e-07
"MAP1B",-4.46185539240673,4.55664136886559,148.969094163229,2.96230657525039e-09,1.53309390616643e-07
"LRP2BP",-3.6495397347767,3.91957899820718,151.625448156792,2.96461148264849e-09,1.53309390616643e-07
"SBF2",-3.21091599906064,4.63836377363518,204.511540265682,2.97844355701607e-09,1.53413481627256e-07
"ATP6V0E1",2.81218152329175,5.68400571081864,204.477476367317,3.01473225454777e-09,1.54668872189842e-07
"KCNQ4",-3.48445830939449,2.82035976821624,101.014243057638,3.02973747468936e-09,1.54826741816803e-07
"USP37",-2.336813148494,7.2572451594299,203.382088603241,3.06618694427404e-09,1.56074927594812e-07
"MGAT4A",-3.77148842204356,3.9296571106632,144.424585133273,3.11467995291348e-09,1.57173645246918e-07
"KLHDC4",-3.35436365012175,8.09968629227956,202.851291417038,3.11542449530103e-09,1.57173645246918e-07
"RASSF5",2.20131023733325,6.62926031714496,202.733675129072,3.12614203506718e-09,1.57173645246918e-07
"PLCL1",-3.38197694023223,3.16745570673813,114.666858056665,3.13620755924128e-09,1.57173645246918e-07
"LINC01409",-3.03303908247293,4.17343650452468,193.094377785023,3.15305764495179e-09,1.57410339351824e-07
"FAM114A1",-3.70487191977177,3.1938545360193,105.036177526671,3.19898039721811e-09,1.59091055769698e-07
"ZNF569",-2.49305165895551,5.1143057451431,204.15977042676,3.26575685036731e-09,1.61792076022014e-07
"GPR15",3.94427750724398,5.8536661817797,202.144202184991,3.40559169329579e-09,1.67798732280715e-07
